New_Name,COMID,new_subbasinname,CSCI.Predicted,Biological.Condition.CSCI.Predicted,Hydro.Alteration.CSCI,Stream.Characterization.CSCI,ASCI.Predicted,Biological.Condition.ASCI.Predicted,Hydro.Alteration.ASCI,Stream.Characterization.ASCI,Synthesis.Alteration,StationCode,Latitude,Longitude
I01-010,20348689,101010,0.58,Very likely altered,Likely Unaltered,Prioritized for Separate Stressor Evaluation,0.68,Very likely altered,Likely Unaltered,Prioritized for Separate Stressor Evaluation,Low Priority,SMC01555,33.54998,-117.77966
I01-011,20348625,101011,0.63,Likely altered,Likely Unaltered,Prioritized for Separate Stressor Evaluation,0.72,Very likely altered,Likely Unaltered,Prioritized for Separate Stressor Evaluation,Low Priority,901S00531,33.55975,-117.772
I01-012,20348565,101012,0.72,Likely altered,Likely Unaltered,Prioritized for Separate Stressor Evaluation,0.71,Very likely altered,Likely Unaltered,Prioritized for Separate Stressor Evaluation,Low Priority,,NA,NA
I01-020,20350511,101020,0.55,Very likely altered,Likely Altered,Prioritized for Flow Management,0.69,Very likely altered,Likely Unaltered,Prioritized for Separate Stressor Evaluation,Medium Priority,,NA,NA
J01-010,20350539,201010,0.69,Likely altered,Likely Unaltered,Prioritized for Separate Stressor Evaluation,0.66,Very likely altered,Likely Altered,Prioritized for Flow Management,Medium Priority,SMC00910,33.51383,-117.74426
J01-020,20350539,201020,0.69,Likely altered,Likely Altered,Prioritized for Flow Management,0.66,Very likely altered,Likely Altered,Prioritized for Flow Management,High Priority,901S02702,33.51636,-117.74062
J01-030,20348697,201030,0.75,Likely altered,Likely Unaltered,Prioritized for Separate Stressor Evaluation,0.64,Very likely altered,Likely Unaltered,Prioritized for Separate Stressor Evaluation,Low Priority,,NA,NA
J01-031,20348571,201031,0.58,Very likely altered,Likely Altered,Prioritized for Flow Management,0.69,Very likely altered,Likely Unaltered,Prioritized for Separate Stressor Evaluation,Medium Priority,,NA,NA
J01-040,20348641,201040,0.49,Very likely altered,Likely Unaltered,Prioritized for Separate Stressor Evaluation,0.7,Very likely altered,Likely Altered,Prioritized for Flow Management,Medium Priority,,NA,NA
J01-041,20348641,201041,0.49,Very likely altered,Likely Unaltered,Prioritized for Separate Stressor Evaluation,0.7,Very likely altered,Likely Altered,Prioritized for Flow Management,Medium Priority,901S01811,33.56418,-117.71792
