"","biol.endpoints","hydro.endpoints","InterceptCoef","VariableCoef","Deviance","AIC","NullDeviance","InterceptPvalue","VariablePvalue","Delta","n"
"1","CSCI","DS_Dur_WS",1.14396626519193,-0.0476979316797301,135.801355762762,139.801355762762,196.252077954509,4.82965452789732e-07,0.000114262303147329,"Positive",144
"2","CSCI","DS_Mag_50",0.0347091647789701,0.0402230457519049,372.807454079924,376.807454079924,372.820240986081,0.779377268268608,0.910119336169247,"Positive",269
"3","CSCI","DS_Mag_90",-0.0896981255010153,-0.10978346669574,335.220989627344,339.220989627344,338.46157825427,0.495760550162387,0.214656683039859,"Positive",245
"4","CSCI","DS_Tim",0.879496342936993,-0.102578775225896,188.892105965141,192.892105965141,220.370627315219,2.80287699701839e-06,0.000149413143052531,"Positive",165
"5","CSCI","FA_Dur",0.358369158155076,-0.348075822196024,33.3945120244809,37.3945120244809,36.0436533891172,0.43317798153689,0.186586725513989,"Positive",26
"6","CSCI","FA_Mag",0.0396266520777319,-0.0143115854993432,50.2843651684669,54.2843651684669,55.6370719151405,0.915644278355639,0.218914086867234,"Positive",41
"7","CSCI","FA_Tim",1.09861228866811,-9.33234038751384,17.9947246748111,21.9947246748111,20.5971149786583,0.0570598203643371,0.996235711220439,"Positive",17
"8","CSCI","Q99",-0.0116708025879755,-0.00515820745742521,392.327871769446,396.327871769446,428.389122957387,0.927644621277663,0.00101767444873176,"Positive",315
"9","CSCI","SP_Dur",1.10301196735587,-0.0481832067967171,179.20705407157,183.20705407157,197.237384834875,2.74895942838323e-08,0.00037137047214917,"Positive",158
"10","CSCI","SP_Mag",-0.133641325796851,-0.00402886177630462,349.258057673924,353.258057673924,373.010048002075,0.326564601905206,0.00250049985224553,"Positive",277
"11","CSCI","SP_ROC",0.0692663908086548,-16.7950504430117,292.155195097764,296.155195097764,296.666993279657,0.624102940766586,0.105689608055752,"Positive",214
"12","CSCI","SP_Tim",0.691058653454575,-0.0937741245240188,339.130994228798,343.130994228798,424.154764437868,4.64372947381462e-07,3.73339976050808e-09,"Positive",307
"13","CSCI","Wet_BFL_Dur",0.689133824705826,-0.0605051563479235,323.031474917933,327.031474917933,418.299636345068,7.3990954510338e-06,3.23247444999592e-11,"Positive",303
"14","CSCI","Wet_BFL_Mag_10",0.445628991037576,-0.517776104061367,264.006325612694,268.006325612694,265.327937059081,0.00313626721449219,0.263456305447489,"Positive",197
"15","CSCI","Wet_BFL_Mag_50",0.715611052047915,-0.20737447691033,258.482404961702,262.482404961702,268.717435617353,3.90096607423165e-06,0.284249921096262,"Positive",207
