"","Threshold","Bio_threshold","site","region","year","Hydro_Metric","Biol","Alteration_Current","Alteration_Current_direction"
"60","Threshold25",0.75,101020,"Oso and Small Creeks",2005,"SP_Dur","ASCI","Altered","High"
"61","Threshold50",0.75,101020,"Oso and Small Creeks",2005,"SP_Dur","ASCI","Altered","High"
"62","Threshold75",0.75,101020,"Oso and Small Creeks",2005,"SP_Dur","ASCI","Altered","High"
"63","Threshold25",0.86,101020,"Oso and Small Creeks",2005,"SP_Dur","ASCI","Altered","High"
"64","Threshold50",0.86,101020,"Oso and Small Creeks",2005,"SP_Dur","ASCI","Altered","High"
"65","Threshold75",0.86,101020,"Oso and Small Creeks",2005,"SP_Dur","ASCI","Altered","High"
"66","Threshold25",0.94,101020,"Oso and Small Creeks",2005,"SP_Dur","ASCI","Altered","High"
"67","Threshold50",0.94,101020,"Oso and Small Creeks",2005,"SP_Dur","ASCI","Altered","High"
"68","Threshold75",0.94,101020,"Oso and Small Creeks",2005,"SP_Dur","ASCI","Altered","High"
"69","Threshold50",0.75,101020,"Oso and Small Creeks",2017,"SP_Dur","ASCI","Altered","High"
"70","Threshold75",0.75,101020,"Oso and Small Creeks",2017,"SP_Dur","ASCI","Altered","High"
"71","Threshold25",0.86,101020,"Oso and Small Creeks",2017,"SP_Dur","ASCI","Altered","High"
"72","Threshold50",0.86,101020,"Oso and Small Creeks",2017,"SP_Dur","ASCI","Altered","High"
"73","Threshold75",0.86,101020,"Oso and Small Creeks",2017,"SP_Dur","ASCI","Altered","High"
"74","Threshold25",0.94,101020,"Oso and Small Creeks",2017,"SP_Dur","ASCI","Altered","High"
"75","Threshold50",0.94,101020,"Oso and Small Creeks",2017,"SP_Dur","ASCI","Altered","High"
"76","Threshold75",0.94,101020,"Oso and Small Creeks",2017,"SP_Dur","ASCI","Altered","High"
"77","Threshold25",0.75,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","ASCI","Altered","Low"
"78","Threshold50",0.75,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","ASCI","Altered","Low"
"79","Threshold75",0.75,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","ASCI","Altered","Low"
"80","Threshold25",0.86,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","ASCI","Altered","Low"
"81","Threshold50",0.86,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","ASCI","Altered","Low"
"82","Threshold75",0.86,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","ASCI","Altered","Low"
"83","Threshold25",0.94,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","ASCI","Altered","Low"
"84","Threshold50",0.94,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","ASCI","Altered","Low"
"85","Threshold75",0.94,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","ASCI","Altered","Low"
"86","Threshold25",0.63,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","CSCI","Altered","Low"
"87","Threshold50",0.63,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","CSCI","Altered","Low"
"88","Threshold75",0.63,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","CSCI","Altered","Low"
"89","Threshold25",0.79,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","CSCI","Altered","Low"
"90","Threshold50",0.79,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","CSCI","Altered","Low"
"91","Threshold75",0.79,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","CSCI","Altered","Low"
"92","Threshold25",0.92,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","CSCI","Altered","Low"
"93","Threshold50",0.92,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","CSCI","Altered","Low"
"94","Threshold75",0.92,301010,"Oso and Small Creeks",1995,"DS_Dur_WS","CSCI","Altered","Low"
"95","Threshold25",0.75,301010,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","High"
"96","Threshold50",0.75,301010,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","High"
"97","Threshold75",0.75,301010,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","High"
"98","Threshold25",0.86,301010,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","High"
"99","Threshold50",0.86,301010,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","High"
"100","Threshold75",0.86,301010,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","High"
"101","Threshold25",0.94,301010,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","High"
"102","Threshold50",0.94,301010,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","High"
"103","Threshold75",0.94,301010,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","High"
"104","Threshold75",0.63,301010,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"105","Threshold25",0.79,301010,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"106","Threshold50",0.79,301010,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"107","Threshold75",0.79,301010,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"108","Threshold25",0.92,301010,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"109","Threshold50",0.92,301010,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"110","Threshold75",0.92,301010,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"111","Threshold75",0.75,301010,"Oso and Small Creeks",1996,"DS_Dur_WS","ASCI","Altered","High"
"112","Threshold75",0.86,301010,"Oso and Small Creeks",1996,"DS_Dur_WS","ASCI","Altered","High"
"113","Threshold25",0.94,301010,"Oso and Small Creeks",1996,"DS_Dur_WS","ASCI","Altered","High"
"114","Threshold50",0.94,301010,"Oso and Small Creeks",1996,"DS_Dur_WS","ASCI","Altered","High"
"115","Threshold75",0.94,301010,"Oso and Small Creeks",1996,"DS_Dur_WS","ASCI","Altered","High"
"116","Threshold50",0.79,301010,"Oso and Small Creeks",1996,"DS_Dur_WS","CSCI","Altered","High"
"117","Threshold75",0.79,301010,"Oso and Small Creeks",1996,"DS_Dur_WS","CSCI","Altered","High"
"118","Threshold25",0.92,301010,"Oso and Small Creeks",1996,"DS_Dur_WS","CSCI","Altered","High"
"119","Threshold50",0.92,301010,"Oso and Small Creeks",1996,"DS_Dur_WS","CSCI","Altered","High"
"120","Threshold75",0.92,301010,"Oso and Small Creeks",1996,"DS_Dur_WS","CSCI","Altered","High"
"121","Threshold50",0.75,301010,"Oso and Small Creeks",1996,"SP_Dur","ASCI","Altered","Low"
"122","Threshold75",0.75,301010,"Oso and Small Creeks",1996,"SP_Dur","ASCI","Altered","Low"
"123","Threshold50",0.86,301010,"Oso and Small Creeks",1996,"SP_Dur","ASCI","Altered","Low"
"124","Threshold75",0.86,301010,"Oso and Small Creeks",1996,"SP_Dur","ASCI","Altered","Low"
"125","Threshold50",0.94,301010,"Oso and Small Creeks",1996,"SP_Dur","ASCI","Altered","Low"
"126","Threshold75",0.94,301010,"Oso and Small Creeks",1996,"SP_Dur","ASCI","Altered","Low"
"127","Threshold75",0.86,301010,"Oso and Small Creeks",1997,"DS_Dur_WS","ASCI","Altered","High"
"128","Threshold50",0.94,301010,"Oso and Small Creeks",1997,"DS_Dur_WS","ASCI","Altered","High"
"129","Threshold75",0.94,301010,"Oso and Small Creeks",1997,"DS_Dur_WS","ASCI","Altered","High"
"130","Threshold75",0.79,301010,"Oso and Small Creeks",1997,"DS_Dur_WS","CSCI","Altered","High"
"131","Threshold25",0.92,301010,"Oso and Small Creeks",1997,"DS_Dur_WS","CSCI","Altered","High"
"132","Threshold50",0.92,301010,"Oso and Small Creeks",1997,"DS_Dur_WS","CSCI","Altered","High"
"133","Threshold75",0.92,301010,"Oso and Small Creeks",1997,"DS_Dur_WS","CSCI","Altered","High"
"134","Threshold75",0.75,301010,"Oso and Small Creeks",1997,"SP_Dur","ASCI","Altered","Low"
"135","Threshold75",0.86,301010,"Oso and Small Creeks",1997,"SP_Dur","ASCI","Altered","Low"
"136","Threshold75",0.94,301010,"Oso and Small Creeks",1997,"SP_Dur","ASCI","Altered","Low"
"137","Threshold25",0.75,301010,"Oso and Small Creeks",1998,"SP_Dur","ASCI","Altered","High"
"138","Threshold50",0.75,301010,"Oso and Small Creeks",1998,"SP_Dur","ASCI","Altered","High"
"139","Threshold75",0.75,301010,"Oso and Small Creeks",1998,"SP_Dur","ASCI","Altered","High"
"140","Threshold25",0.86,301010,"Oso and Small Creeks",1998,"SP_Dur","ASCI","Altered","High"
"141","Threshold50",0.86,301010,"Oso and Small Creeks",1998,"SP_Dur","ASCI","Altered","High"
"142","Threshold75",0.86,301010,"Oso and Small Creeks",1998,"SP_Dur","ASCI","Altered","High"
"143","Threshold25",0.94,301010,"Oso and Small Creeks",1998,"SP_Dur","ASCI","Altered","High"
"144","Threshold50",0.94,301010,"Oso and Small Creeks",1998,"SP_Dur","ASCI","Altered","High"
"145","Threshold75",0.94,301010,"Oso and Small Creeks",1998,"SP_Dur","ASCI","Altered","High"
"146","Threshold25",0.75,301010,"Oso and Small Creeks",1999,"SP_Dur","ASCI","Altered","Low"
"147","Threshold50",0.75,301010,"Oso and Small Creeks",1999,"SP_Dur","ASCI","Altered","Low"
"148","Threshold75",0.75,301010,"Oso and Small Creeks",1999,"SP_Dur","ASCI","Altered","Low"
"149","Threshold25",0.86,301010,"Oso and Small Creeks",1999,"SP_Dur","ASCI","Altered","Low"
"150","Threshold50",0.86,301010,"Oso and Small Creeks",1999,"SP_Dur","ASCI","Altered","Low"
"151","Threshold75",0.86,301010,"Oso and Small Creeks",1999,"SP_Dur","ASCI","Altered","Low"
"152","Threshold25",0.94,301010,"Oso and Small Creeks",1999,"SP_Dur","ASCI","Altered","Low"
"153","Threshold50",0.94,301010,"Oso and Small Creeks",1999,"SP_Dur","ASCI","Altered","Low"
"154","Threshold75",0.94,301010,"Oso and Small Creeks",1999,"SP_Dur","ASCI","Altered","Low"
"155","Threshold25",0.63,301010,"Oso and Small Creeks",1999,"SP_Tim","CSCI","Altered","High"
"156","Threshold50",0.63,301010,"Oso and Small Creeks",1999,"SP_Tim","CSCI","Altered","High"
"157","Threshold75",0.63,301010,"Oso and Small Creeks",1999,"SP_Tim","CSCI","Altered","High"
"158","Threshold25",0.79,301010,"Oso and Small Creeks",1999,"SP_Tim","CSCI","Altered","High"
"159","Threshold50",0.79,301010,"Oso and Small Creeks",1999,"SP_Tim","CSCI","Altered","High"
"160","Threshold75",0.79,301010,"Oso and Small Creeks",1999,"SP_Tim","CSCI","Altered","High"
"161","Threshold25",0.92,301010,"Oso and Small Creeks",1999,"SP_Tim","CSCI","Altered","High"
"162","Threshold50",0.92,301010,"Oso and Small Creeks",1999,"SP_Tim","CSCI","Altered","High"
"163","Threshold75",0.92,301010,"Oso and Small Creeks",1999,"SP_Tim","CSCI","Altered","High"
"164","Threshold25",0.75,301010,"Oso and Small Creeks",2000,"SP_Dur","ASCI","Altered","Low"
"165","Threshold50",0.75,301010,"Oso and Small Creeks",2000,"SP_Dur","ASCI","Altered","Low"
"166","Threshold75",0.75,301010,"Oso and Small Creeks",2000,"SP_Dur","ASCI","Altered","Low"
"167","Threshold25",0.86,301010,"Oso and Small Creeks",2000,"SP_Dur","ASCI","Altered","Low"
"168","Threshold50",0.86,301010,"Oso and Small Creeks",2000,"SP_Dur","ASCI","Altered","Low"
"169","Threshold75",0.86,301010,"Oso and Small Creeks",2000,"SP_Dur","ASCI","Altered","Low"
"170","Threshold25",0.94,301010,"Oso and Small Creeks",2000,"SP_Dur","ASCI","Altered","Low"
"171","Threshold50",0.94,301010,"Oso and Small Creeks",2000,"SP_Dur","ASCI","Altered","Low"
"172","Threshold75",0.94,301010,"Oso and Small Creeks",2000,"SP_Dur","ASCI","Altered","Low"
"173","Threshold50",0.63,301010,"Oso and Small Creeks",2000,"SP_Tim","CSCI","Altered","High"
"174","Threshold75",0.63,301010,"Oso and Small Creeks",2000,"SP_Tim","CSCI","Altered","High"
"175","Threshold25",0.79,301010,"Oso and Small Creeks",2000,"SP_Tim","CSCI","Altered","High"
"176","Threshold50",0.79,301010,"Oso and Small Creeks",2000,"SP_Tim","CSCI","Altered","High"
"177","Threshold75",0.79,301010,"Oso and Small Creeks",2000,"SP_Tim","CSCI","Altered","High"
"178","Threshold25",0.92,301010,"Oso and Small Creeks",2000,"SP_Tim","CSCI","Altered","High"
"179","Threshold50",0.92,301010,"Oso and Small Creeks",2000,"SP_Tim","CSCI","Altered","High"
"180","Threshold75",0.92,301010,"Oso and Small Creeks",2000,"SP_Tim","CSCI","Altered","High"
"181","Threshold50",0.75,301010,"Oso and Small Creeks",2001,"SP_Dur","ASCI","Altered","High"
"182","Threshold75",0.75,301010,"Oso and Small Creeks",2001,"SP_Dur","ASCI","Altered","High"
"183","Threshold25",0.86,301010,"Oso and Small Creeks",2001,"SP_Dur","ASCI","Altered","High"
"184","Threshold50",0.86,301010,"Oso and Small Creeks",2001,"SP_Dur","ASCI","Altered","High"
"185","Threshold75",0.86,301010,"Oso and Small Creeks",2001,"SP_Dur","ASCI","Altered","High"
"186","Threshold25",0.94,301010,"Oso and Small Creeks",2001,"SP_Dur","ASCI","Altered","High"
"187","Threshold50",0.94,301010,"Oso and Small Creeks",2001,"SP_Dur","ASCI","Altered","High"
"188","Threshold75",0.94,301010,"Oso and Small Creeks",2001,"SP_Dur","ASCI","Altered","High"
"189","Threshold25",0.75,301010,"Oso and Small Creeks",2003,"SP_Dur","ASCI","Altered","High"
"190","Threshold50",0.75,301010,"Oso and Small Creeks",2003,"SP_Dur","ASCI","Altered","High"
"191","Threshold75",0.75,301010,"Oso and Small Creeks",2003,"SP_Dur","ASCI","Altered","High"
"192","Threshold25",0.86,301010,"Oso and Small Creeks",2003,"SP_Dur","ASCI","Altered","High"
"193","Threshold50",0.86,301010,"Oso and Small Creeks",2003,"SP_Dur","ASCI","Altered","High"
"194","Threshold75",0.86,301010,"Oso and Small Creeks",2003,"SP_Dur","ASCI","Altered","High"
"195","Threshold25",0.94,301010,"Oso and Small Creeks",2003,"SP_Dur","ASCI","Altered","High"
"196","Threshold50",0.94,301010,"Oso and Small Creeks",2003,"SP_Dur","ASCI","Altered","High"
"197","Threshold75",0.94,301010,"Oso and Small Creeks",2003,"SP_Dur","ASCI","Altered","High"
"198","Threshold75",0.63,301010,"Oso and Small Creeks",2003,"SP_Tim","CSCI","Altered","High"
"199","Threshold25",0.79,301010,"Oso and Small Creeks",2003,"SP_Tim","CSCI","Altered","High"
"200","Threshold50",0.79,301010,"Oso and Small Creeks",2003,"SP_Tim","CSCI","Altered","High"
"201","Threshold75",0.79,301010,"Oso and Small Creeks",2003,"SP_Tim","CSCI","Altered","High"
"202","Threshold25",0.92,301010,"Oso and Small Creeks",2003,"SP_Tim","CSCI","Altered","High"
"203","Threshold50",0.92,301010,"Oso and Small Creeks",2003,"SP_Tim","CSCI","Altered","High"
"204","Threshold75",0.92,301010,"Oso and Small Creeks",2003,"SP_Tim","CSCI","Altered","High"
"205","Threshold75",0.75,301010,"Oso and Small Creeks",2009,"SP_Dur","ASCI","Altered","High"
"206","Threshold50",0.86,301010,"Oso and Small Creeks",2009,"SP_Dur","ASCI","Altered","High"
"207","Threshold75",0.86,301010,"Oso and Small Creeks",2009,"SP_Dur","ASCI","Altered","High"
"208","Threshold50",0.94,301010,"Oso and Small Creeks",2009,"SP_Dur","ASCI","Altered","High"
"209","Threshold75",0.94,301010,"Oso and Small Creeks",2009,"SP_Dur","ASCI","Altered","High"
"210","Threshold25",0.75,301010,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"211","Threshold50",0.75,301010,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"212","Threshold75",0.75,301010,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"213","Threshold25",0.86,301010,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"214","Threshold50",0.86,301010,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"215","Threshold75",0.86,301010,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"216","Threshold25",0.94,301010,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"217","Threshold50",0.94,301010,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"218","Threshold75",0.94,301010,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"219","Threshold50",0.75,301011,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","Low"
"220","Threshold75",0.75,301011,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","Low"
"221","Threshold50",0.86,301011,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","Low"
"222","Threshold75",0.86,301011,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","Low"
"223","Threshold25",0.94,301011,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","Low"
"224","Threshold50",0.94,301011,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","Low"
"225","Threshold75",0.94,301011,"Oso and Small Creeks",1995,"SP_Dur","ASCI","Altered","Low"
"226","Threshold50",0.63,301011,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"227","Threshold75",0.63,301011,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"228","Threshold25",0.79,301011,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"229","Threshold50",0.79,301011,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"230","Threshold75",0.79,301011,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"231","Threshold25",0.92,301011,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"232","Threshold50",0.92,301011,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"233","Threshold75",0.92,301011,"Oso and Small Creeks",1995,"SP_Tim","CSCI","Altered","High"
"234","Threshold75",0.75,301011,"Oso and Small Creeks",1997,"DS_Dur_WS","ASCI","Altered","High"
"235","Threshold75",0.86,301011,"Oso and Small Creeks",1997,"DS_Dur_WS","ASCI","Altered","High"
"236","Threshold25",0.94,301011,"Oso and Small Creeks",1997,"DS_Dur_WS","ASCI","Altered","High"
"237","Threshold50",0.94,301011,"Oso and Small Creeks",1997,"DS_Dur_WS","ASCI","Altered","High"
"238","Threshold75",0.94,301011,"Oso and Small Creeks",1997,"DS_Dur_WS","ASCI","Altered","High"
"239","Threshold50",0.79,301011,"Oso and Small Creeks",1997,"DS_Dur_WS","CSCI","Altered","High"
"240","Threshold75",0.79,301011,"Oso and Small Creeks",1997,"DS_Dur_WS","CSCI","Altered","High"
"241","Threshold25",0.92,301011,"Oso and Small Creeks",1997,"DS_Dur_WS","CSCI","Altered","High"
"242","Threshold50",0.92,301011,"Oso and Small Creeks",1997,"DS_Dur_WS","CSCI","Altered","High"
"243","Threshold75",0.92,301011,"Oso and Small Creeks",1997,"DS_Dur_WS","CSCI","Altered","High"
"244","Threshold75",0.75,301011,"Oso and Small Creeks",1997,"SP_Dur","ASCI","Altered","Low"
"245","Threshold50",0.86,301011,"Oso and Small Creeks",1997,"SP_Dur","ASCI","Altered","Low"
"246","Threshold75",0.86,301011,"Oso and Small Creeks",1997,"SP_Dur","ASCI","Altered","Low"
"247","Threshold50",0.94,301011,"Oso and Small Creeks",1997,"SP_Dur","ASCI","Altered","Low"
"248","Threshold75",0.94,301011,"Oso and Small Creeks",1997,"SP_Dur","ASCI","Altered","Low"
"249","Threshold75",0.75,301011,"Oso and Small Creeks",2001,"SP_Dur","ASCI","Altered","Low"
"250","Threshold50",0.86,301011,"Oso and Small Creeks",2001,"SP_Dur","ASCI","Altered","Low"
"251","Threshold75",0.86,301011,"Oso and Small Creeks",2001,"SP_Dur","ASCI","Altered","Low"
"252","Threshold50",0.94,301011,"Oso and Small Creeks",2001,"SP_Dur","ASCI","Altered","Low"
"253","Threshold75",0.94,301011,"Oso and Small Creeks",2001,"SP_Dur","ASCI","Altered","Low"
"254","Threshold75",0.86,301011,"Oso and Small Creeks",2005,"SP_Dur","ASCI","Altered","Low"
"255","Threshold75",0.94,301011,"Oso and Small Creeks",2005,"SP_Dur","ASCI","Altered","Low"
"256","Threshold25",0.75,301011,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"257","Threshold50",0.75,301011,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"258","Threshold75",0.75,301011,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"259","Threshold25",0.86,301011,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"260","Threshold50",0.86,301011,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"261","Threshold75",0.86,301011,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"262","Threshold25",0.94,301011,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"263","Threshold50",0.94,301011,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"264","Threshold75",0.94,301011,"Oso and Small Creeks",2011,"SP_Dur","ASCI","Altered","High"
"265","Threshold75",0.75,301020,"Oso and Small Creeks",1995,"DS_Dur_WS","ASCI","Altered","Low"
"266","Threshold75",0.86,301020,"Oso and Small Creeks",1995,"DS_Dur_WS","ASCI","Altered","Low"
